soundfile,videofile,description,distance,decay,linefreq,bandfreq,numbers
声音文件,视频文件,描述,距离,衰减,线谱,宽带谱,节拍
超纲单词.001.mp3,谱图1.mat,这是一个有用的声音,abut,vi. 邻接,毗邻,紧靠,4
超纲单词.002.mp3,谱图2.mat,这是一个有用的声音,accessible,adj. 易接近的,可进入的,可理解的,10
超纲单词.003.mp3,谱图3.mat,这是一个有用的声音,accusation,n. 控告，指控,谴责,n. 控告，指控,10
超纲单词.004.mp3,谱图1.mat,这是一个有用的声音,advent,n. 到来,出现,基督降临,6
超纲单词.005.mp3,谱图2.mat,这是一个有用的声音,affluent,adj. 富裕的,丰富的,流畅的,8
超纲单词.006.mp3,谱图3.mat,这是一个有用的声音,alarmist,adj. 危言耸听的，大惊小怪的,n. 大惊小怪者，杞人忧天者,adj. 危言耸听的，大惊小怪的,8
超纲单词.007.mp3,谱图1.mat,这是一个有用的声音,allegiance,n. 效忠，忠诚,忠贞,n. 效忠，忠诚,10
超纲单词.008.mp3,谱图2.mat,这是一个有用的声音,analyst,n. 分析者,精神分析医师,分解者,7
超纲单词.009.mp3,谱图3.mat,这是一个有用的声音,announcement,n. 公告,宣告,发表,12
超纲单词.010.mp3,谱图1.mat,这是一个有用的声音,antenna,n. [电讯] 天线,[动] 触角，[昆] 触须,n. (Antenna)人名,7
超纲单词.011.mp3,谱图2.mat,这是一个有用的声音,appreciable,adj. 可感知的,可评估的,相当可观的,11
超纲单词.012.mp3,谱图3.mat,这是一个有用的声音,aroma,n. 芳香,n. (Aroma)人名,(瑞典、土)阿罗马,5
超纲单词.013.mp3,谱图1.mat,这是一个有用的声音,arson,n. 纵火,纵火罪,n. (Arson)人名,5
超纲单词.014.mp3,谱图2.mat,这是一个有用的声音,aspire,vi. 渴望,立志,追求,6
超纲单词.015.mp3,谱图3.mat,这是一个有用的声音,assessment,n. 评价,评定,鉴定,10
超纲单词.016.mp3,谱图1.mat,这是一个有用的声音,assessor,n. 评审员,确定税款的人,顾问,8
超纲单词.017.mp3,谱图2.mat,这是一个有用的声音,astronomer,n. 天文学家,n. 天文学家,n. 天文学家,10
超纲单词.018.mp3,谱图3.mat,这是一个有用的声音,audible,adj. 听得见的,adj. 听得见的,adj. 听得见的,7
超纲单词.019.mp3,谱图1.mat,这是一个有用的声音,audit,n. 审计，稽核,查账,审查，检查,5
超纲单词.020.mp3,谱图2.mat,这是一个有用的声音,auditorium,n. 礼堂，会堂,观众席,n. 礼堂，会堂,10
