name,py
阿富汗,AFH
安提瓜和巴布达,ATGHBBD
冰岛,BD
印度,YD
印度尼西亚,YDNXY
伊朗,YL
伊拉克,YLK
爱尔兰,AEL
英国属地曼岛,YGSDMD
以色列,YSL
意大利,YDL
牙买加,YMJ
阿根廷,AGT
日本,RB
泽西岛,ZXD
约旦,YD
哈萨克斯坦,HSKST
肯尼亚,KNY
基里巴斯,JLBS
朝鲜,CX
韩国,HG
科威特,KWT
吉尔吉斯斯坦,JEJSST
亚美尼亚,YMNY
老挝,LW
拉脱维亚,LTWY
黎巴嫩,LBN
莱索托,LST
利比里亚,LBLY
利比亚,LBY
列支敦士登,LZDSD
立陶宛,LTW
卢森堡,LSB
澳门,AM
阿鲁巴,ALB
前南马其顿,QNMQD
马达加斯加,MDJSJ
马拉维,MLW
马来西亚,MLXY
马尔代夫,MEDF
马里,ML
马耳他,MET
马绍尔群岛,MSEQD
马提尼克,MTNK
毛利塔尼亚,MLTNY
澳大利亚,ADLY
毛里求斯,MLQS
马约特,MYT
墨西哥,MXG
密克罗尼西亚联邦,MKLNXYLB
摩尔多瓦,MEDW
摩纳哥,MNG
蒙古,MG
黑山,HS
蒙特塞拉特,MTSLT
摩洛哥,MLG
奥地利,ADL
莫桑比克,MSBK
缅甸,MD
纳米比亚,NMBY
瑙鲁,NL
尼泊尔,NBE
荷兰,HL
荷属安的列斯,HSADLS
新喀里多尼亚,XKLDNY
新西兰,XXL
尼加拉瓜,NJLG
阿塞拜疆,ASBJ
尼日尔,NRE
尼日利亚,NRLY
纽埃,NA
诺福克岛,NFKD
北马里亚纳,BMLYN
挪威,NW
阿曼,AM
巴基斯坦,BJST
帕劳,PL
巴勒斯坦,BLST
巴哈马,BHM
巴拿马,BNM
巴布亚新几内亚,BBYXJNY
巴拉圭,BLG
秘鲁,ML
菲律宾,FLB
皮特凯恩,PTKE
波兰,BL
葡萄牙,PTY
波多黎各,BDLG
卡塔尔,KTE
巴林,BL
留尼汪,LNW
罗马尼亚,LMNY
俄罗斯联邦,ELSLB
卢旺达,LWD
圣赫勒拿,SHLN
圣基茨和尼维斯,SJCHNWS
圣卢西亚,SLXY
圣皮埃尔和密克隆,SPAEHMKL
圣文森特和格林纳丁斯,SWSTHGLNDS
萨摩亚,SMY
孟加拉国,MJLG
圣马力诺,SMLN
圣多美和普林西比,SDMHPLXB
沙特阿拉伯,STALB
塞内加尔,SNJE
塞尔维亚,SEWY
塞舌尔,SSE
塞拉利昂,SLLA
新加坡,XJP
斯洛伐克,SLFK
斯洛文尼亚,SLWNY
奥兰群岛,ALQD
巴巴多斯,BBDS
所罗门群岛,SLMQD
索马里,SML
南非,NF
南乔治亚岛和南桑德韦奇岛,NQZYDHNSDWQD
西班牙,XBY
斯里兰卡,SLLK
苏丹,SD
苏里南,SLN
斯瓦尔巴岛和扬马延岛,SWEBDHYMYD
斯威士兰,SWSL
白俄罗斯,BELS
瑞典,RD
瑞士,RS
叙利亚,XLY
台湾,TW
塔吉克斯坦,TJKST
坦桑尼亚,TSNY
泰国,TG
东帝汶,DDW
多哥,DG
托克劳,TKL
比利时,BLS
汤加,TJ
特立尼达和多巴哥,TLNDHDBG
突尼斯,TNS
土耳其,TEQ
土库曼斯坦,TKMST
特克斯和凯科斯群岛,TKSHKKSQD
图瓦卢,TWL
乌干达,WGD
乌克兰,WKL
阿联酋,ALQ
伯利兹,BLZ
英国,YG
美国,MG
美国本土外小岛屿,MGBTWXDY
乌拉圭,WLG
乌兹别克斯坦,WZBKST
瓦努阿图,WNAT
委内瑞拉,WNRL
越南,YN
英属维尔京群岛,YSWEJQD
美属维尔京群岛,MSWEJQD
贝宁,BN
瓦利斯和富图纳,WLSHFTN
西撒哈拉,XSHL
也门,YM
赞比亚,ZBY
津巴布韦,JBBW
百慕大,BMD
不丹,BD
玻利维亚,BLWY
波黑,BH
博茨瓦纳,BCWN
阿尔巴尼亚,AEBNY
布维岛,BWD
巴西,BX
英属印度洋领地,YSYDYLD
文莱,WL
保加利亚,BJLY
布基纳法索,BJNFS
布隆迪,BLD
柬埔寨,JPZ
喀麦隆,KML
加拿大,JND
阿尔及利亚,AEJLY
佛得角,FDJ
开曼群岛,KMQD
中非,ZF
乍得,ZD
智利,ZL
中国,ZG
圣诞岛,SDD
科科斯（基林）群岛,KKSJLQD
哥伦比亚,GLBY
科摩罗,KML
美属萨摩亚,MSSMY
刚果（布）,GGB
刚果（金）,GGJ
库克群岛,KKQD
哥斯达黎加,GSDLJ
科特迪瓦,KTDW
克罗地亚,KLDY
古巴,GB
塞浦路斯,SPLS
捷克,JK
丹麦,DM
安道尔,ADE
吉布提,JBT
多米尼克,DMNK
多米尼加,DMNJ
厄瓜多尔,EGDE
埃及,AJ
萨尔瓦多,SEWD
赤道几内亚,CDJNY
厄立特里亚,ELTLY
爱沙尼亚,ASNY
埃塞俄比亚,ASEBY
安哥拉,AGL
福克兰群岛（马尔维纳斯）,FKLQDMEWNS
法罗群岛,FLQD
斐济,FJ
芬兰,FL
法国,FG
法属圭亚那,FSGYN
法属波利尼西亚,FSBLNXY
法属南部领地,FSNBLD
加蓬,JP
冈比亚,GBY
安圭拉,AGL
格鲁吉亚,GLJY
德国,DG
加纳,JN
直布罗陀,ZBLT
希腊,XL
格陵兰,GLL
格林纳达,GLND
瓜德罗普,GDLP
关岛,GD
危地马拉,WDML
南极洲,NJZ
格恩西岛,GEXD
几内亚,JNY
几内亚比绍,JNYBS
圭亚那,GYN
海地,HD
赫德岛和麦克唐纳岛,HDDHMKTND
梵蒂冈,FDG
洪都拉斯,HDLS
香港,XG
匈牙利,XYL
